pair_id,style,ref_path,search_path,gt_x,gt_y,pitch,scale,noise_sigma_ref,noise_sigma_search,rotation_deg,blur_ref,blur_search,dose_ref,dose_search,charging_intensity,salt_pepper_prob,gamma_ref,gamma_search,classical_pred_x,classical_pred_y,classical_error_px,classical_time_sec,classical_confident,classical_n_candidates,dl_pred_x,dl_pred_y,dl_error_px,dl_time_sec,dl_confident
14,finfet,data/train_canonical/ref_0014.png,data/train_canonical/search_0014.png,438.87,552.86,29,10.93,7.24,17.45,-2.64,0.55,0.6,355.5,170.6,0.0,0.0,0.949,1.024,438.5,476.5,76.36089640647235,0.21413302421569824,False,8,436.0,556.0,4.253998119416597,0.048005104064941406,True
15,dram,data/train_canonical/ref_0015.png,data/train_canonical/search_0015.png,385.98,617.81,42,9.705,7.23,10.35,0.79,0.3,0.8,359.7,141.6,0.403,0.0,1.06,0.866,544.5,555.5,170.32652905522377,0.21429228782653809,False,5,388.0,620.0,2.9793455657241514,0.04409503936767578,True
16,dram,data/train_canonical/ref_0016.png,data/train_canonical/search_0016.png,549.07,612.4,41,9.775,7.61,12.41,1.96,0.38,0.85,518.2,181.7,0.588,0.0,0.932,1.084,549.0,482.0,130.40001878834218,0.22046351432800293,True,1,548.0,612.0,1.1423221962301568,0.044756412506103516,True
17,dram,data/train_canonical/ref_0017.png,data/train_canonical/search_0017.png,413.21,602.46,37,10.346,4.02,10.34,-0.85,0.23,0.86,463.0,145.6,0.445,0.0019,0.968,0.907,413.5,602.5,0.29274562336610427,0.16908645629882812,True,5,412.0,604.0,1.958494319624093,0.05179286003112793,True
18,dram,data/train_canonical/ref_0018.png,data/train_canonical/search_0018.png,540.49,525.3,39,10.99,7.24,15.12,-2.9,0.31,0.76,585.8,155.4,0.393,0.0,1.047,1.091,540.5,525.5,0.2002498439450528,0.1702415943145752,True,5,540.0,524.0,1.3892803892662886,0.04958343505859375,True
19,finfet,data/train_canonical/ref_0019.png,data/train_canonical/search_0019.png,574.8,455.01,27,10.435,6.43,13.34,-2.22,0.45,0.67,310.0,137.4,0.682,0.0,1.099,1.115,574.5,544.5,89.49050284806764,0.23373818397521973,True,7,572.0,452.0,4.110973120807248,0.04858756065368652,True
20,finfet,data/train_canonical/ref_0020.png,data/train_canonical/search_0020.png,419.66,570.82,30,9.103,6.33,12.3,2.0,0.21,0.45,328.6,144.4,0.0,0.0014,0.903,0.945,419.5,570.5,0.3577708764000223,0.21913456916809082,True,6,420.0,580.0,9.186294138552231,0.04365396499633789,True
21,finfet,data/train_canonical/ref_0021.png,data/train_canonical/search_0021.png,385.01,455.45,24,9.852,5.88,11.05,-1.39,0.35,0.73,315.8,82.9,0.0,0.0004,1.026,0.97,533.0,527.0,164.37896033251945,0.24151825904846191,False,10,388.0,460.0,5.444501813756715,0.04267263412475586,True
22,dram,data/train_canonical/ref_0022.png,data/train_canonical/search_0022.png,620.52,532.84,37,9.329,7.92,14.84,-0.03,0.53,0.49,517.2,155.4,0.0,0.0,0.978,0.921,434.5,532.5,186.02031071901797,0.2079939842224121,True,5,620.0,532.0,0.9879271228182951,0.04232978820800781,True
23,dram,data/train_canonical/ref_0023.png,data/train_canonical/search_0023.png,379.11,570.82,41,9.238,4.94,14.58,1.67,0.34,0.5,311.1,120.5,0.476,0.0,1.044,1.139,479.0,574.0,99.94060486108735,0.2214345932006836,False,6,380.0,572.0,1.4780054127099325,0.04811501502990723,True
24,finfet,data/train_canonical/ref_0024.png,data/train_canonical/search_0024.png,476.38,447.0,28,9.973,6.41,17.3,-2.48,0.5,0.75,557.7,83.4,0.681,0.0,0.992,1.051,476.0,447.0,0.37999999999999545,0.21879339218139648,True,7,484.0,452.0,9.113967302991604,0.04527425765991211,True
25,dram,data/train_canonical/ref_0025.png,data/train_canonical/search_0025.png,408.69,460.39,40,9.112,7.06,16.53,-1.64,0.52,0.63,329.4,154.5,0.0,0.0014,0.921,1.127,408.5,517.5,57.110316055858085,0.2201700210571289,True,3,412.0,460.0,3.3328966380612535,0.0466916561126709,True
26,dram,data/train_canonical/ref_0026.png,data/train_canonical/search_0026.png,463.43,415.99,41,9.907,7.58,16.48,1.2,0.35,0.73,433.4,85.4,0.0,0.0026,0.931,0.967,463.0,416.0,0.43011626335213793,0.2032167911529541,True,7,468.0,420.0,6.079884867330948,0.04364967346191406,True
27,finfet,data/train_canonical/ref_0027.png,data/train_canonical/search_0027.png,565.25,473.21,25,9.29,5.87,17.76,-0.32,0.24,0.62,351.1,169.9,0.743,0.0,1.09,0.957,565.5,473.5,0.38288379438154846,0.1920936107635498,True,11,564.0,476.0,3.0572209602840474,0.04124569892883301,True
28,finfet,data/train_canonical/ref_0028.png,data/train_canonical/search_0028.png,587.96,606.51,30,10.409,7.08,17.55,-0.2,0.55,0.42,359.4,133.7,0.44,0.0,0.994,1.045,587.5,531.5,75.01141046534185,0.1768174171447754,False,11,588.0,548.0,58.51001367287483,0.041374921798706055,True
29,finfet,data/train_canonical/ref_0029.png,data/train_canonical/search_0029.png,563.3,382.97,25,9.056,6.43,10.3,0.23,0.51,0.55,419.3,170.1,0.0,0.0,1.086,1.017,563.5,469.5,86.53023113340213,0.17846369743347168,False,10,564.0,388.0,5.078474180302563,0.04483771324157715,True
30,dram,data/train_canonical/ref_0030.png,data/train_canonical/search_0030.png,517.73,475.45,44,10.361,4.02,16.29,0.67,0.57,0.6,328.4,187.6,0.0,0.0,1.09,1.01,517.5,475.5,0.23537204591881658,0.2275245189666748,True,3,524.0,476.0,6.294076580404768,0.04508495330810547,True
31,finfet,data/train_canonical/ref_0031.png,data/train_canonical/search_0031.png,602.11,544.31,20,9.603,6.49,17.02,-0.84,0.23,0.46,479.6,174.1,0.0,0.0018,1.023,0.922,543.5,544.5,58.610307967114466,0.17142105102539062,True,12,604.0,548.0,4.14586541026121,0.04596209526062012,True
32,finfet,data/train_canonical/ref_0032.png,data/train_canonical/search_0032.png,572.35,616.82,29,10.929,6.51,12.95,-0.13,0.43,0.68,580.0,116.9,0.693,0.002,0.995,0.973,572.5,526.5,90.32012455704437,0.16305923461914062,False,9,572.0,612.0,4.83269076188416,0.04926443099975586,True
33,dram,data/train_canonical/ref_0033.png,data/train_canonical/search_0033.png,582.99,372.11,44,9.266,5.28,11.56,2.94,0.27,0.41,347.7,192.8,0.0,0.0,1.099,1.041,582.5,529.5,157.39076275309168,0.17316246032714844,True,6,580.0,372.0,2.9920227271864195,0.054585933685302734,True
34,finfet,data/train_canonical/ref_0034.png,data/train_canonical/search_0034.png,611.73,586.54,29,10.083,4.43,16.24,2.15,0.47,0.45,331.3,137.0,0.0,0.0,1.022,1.054,402.0,416.0,270.31567564608605,0.1769397258758545,False,8,612.0,588.0,1.4847558721891274,0.05185365676879883,True
35,dram,data/train_canonical/ref_0035.png,data/train_canonical/search_0035.png,561.77,403.4,45,9.831,7.87,16.96,-0.43,0.55,0.79,563.4,117.0,0.0,0.0,0.935,1.022,562.0,449.0,45.60058004017056,0.20799612998962402,True,4,564.0,748.0,344.6072153916688,0.04323887825012207,True
36,finfet,data/train_canonical/ref_0036.png,data/train_canonical/search_0036.png,607.06,586.23,22,10.658,5.14,17.69,0.09,0.47,0.52,376.4,93.8,0.0,0.0002,1.004,0.878,415.5,586.5,191.56019027971334,0.22235465049743652,True,9,604.0,756.0,169.79757507102389,0.04357194900512695,True
37,finfet,data/train_canonical/ref_0037.png,data/train_canonical/search_0037.png,566.65,600.76,20,10.906,5.64,12.94,-0.78,0.56,0.55,592.9,142.9,0.0,0.0007,0.989,1.141,566.5,497.5,103.26010894822839,0.18465447425842285,True,7,572.0,596.0,7.161012498243538,0.043047189712524414,True
38,finfet,data/train_canonical/ref_0038.png,data/train_canonical/search_0038.png,601.82,416.63,24,9.294,4.67,10.91,2.32,0.26,0.78,555.9,192.8,0.54,0.0,0.982,1.11,514.5,416.5,87.32009677044574,0.20933818817138672,True,12,604.0,420.0,4.0136392463697845,0.04228472709655762,True
39,finfet,data/train_canonical/ref_0039.png,data/train_canonical/search_0039.png,406.38,407.38,20,9.964,6.68,17.19,2.51,0.45,0.87,371.6,81.1,0.0,0.0017,1.016,1.008,406.0,407.0,0.5374011537017697,0.21338891983032227,True,7,404.0,404.0,4.133860181476866,0.042795419692993164,True
40,dram,data/train_canonical/ref_0040.png,data/train_canonical/search_0040.png,517.34,373.92,40,9.678,7.66,15.18,0.61,0.53,0.75,589.0,91.6,0.0,0.0,1.085,0.96,523.5,588.5,214.66840009652094,0.20911693572998047,True,7,516.0,372.0,2.341367122003755,0.04110074043273926,True
41,finfet,data/train_canonical/ref_0041.png,data/train_canonical/search_0041.png,394.01,608.98,24,10.523,5.43,13.85,0.34,0.35,0.66,433.7,185.9,0.0,0.0,1.089,1.006,462.5,403.5,216.5938838009975,0.19088292121887207,True,11,396.0,612.0,3.6166973885023785,0.046952247619628906,True
42,finfet,data/train_canonical/ref_0042.png,data/train_canonical/search_0042.png,418.19,624.68,23,9.976,6.7,10.63,1.19,0.22,0.46,474.8,194.9,0.0,0.0,1.083,0.982,418.0,497.0,127.6801413689693,0.1911764144897461,False,7,420.0,628.0,3.7813357428295546,0.041478633880615234,True
43,dram,data/train_canonical/ref_0043.png,data/train_canonical/search_0043.png,459.98,559.48,42,9.126,5.52,17.26,-1.59,0.27,0.47,325.7,175.0,0.0,0.0,0.943,0.867,459.5,559.5,0.48041648597858994,0.19419169425964355,True,3,460.0,564.0,4.5200442475710165,0.04612421989440918,True
44,dram,data/train_canonical/ref_0044.png,data/train_canonical/search_0044.png,614.57,608.98,36,10.189,7.11,16.2,1.71,0.3,0.89,475.2,99.5,0.0,0.0,0.979,1.101,491.0,538.0,142.50510622430346,0.21493315696716309,False,9,620.0,612.0,6.213316344754976,0.04479098320007324,True
45,finfet,data/train_canonical/ref_0045.png,data/train_canonical/search_0045.png,587.86,456.94,23,9.472,7.22,10.06,-2.14,0.47,0.49,591.1,161.2,0.0,0.0014,1.05,0.954,587.5,456.5,0.5685068161420826,0.1748349666595459,True,12,588.0,460.0,3.0632009401931195,0.05169248580932617,True
46,dram,data/train_canonical/ref_0046.png,data/train_canonical/search_0046.png,475.58,453.2,40,9.603,7.54,10.28,-2.67,0.49,0.52,579.2,112.7,0.0,0.0,0.97,1.12,475.5,511.5,58.300054888481895,0.21352505683898926,True,4,476.0,452.0,1.27137720602502,0.054314613342285156,True
47,dram,data/train_canonical/ref_0047.png,data/train_canonical/search_0047.png,633.95,443.46,39,9.906,5.85,16.79,-1.22,0.44,0.81,476.7,190.6,0.0,0.0,1.003,1.09,453.0,444.0,180.95080574565014,0.20388197898864746,True,4,636.0,444.0,2.119929244102226,0.0496516227722168,True
48,dram,data/train_canonical/ref_0048.png,data/train_canonical/search_0048.png,369.55,413.45,39,9.636,4.46,14.78,-2.7,0.3,0.7,397.9,194.7,0.78,0.0,1.012,0.926,406.5,413.5,36.95003382948383,0.20795011520385742,True,5,372.0,412.0,2.8469281690973363,0.04965806007385254,True
49,dram,data/train_canonical/ref_0049.png,data/train_canonical/search_0049.png,460.34,548.37,35,9.132,6.78,14.99,-2.66,0.38,0.44,384.9,198.6,0.0,0.0,0.903,0.968,460.5,548.5,0.20615528128089958,0.21384525299072266,True,4,460.0,548.0,0.5024937810560309,0.056055545806884766,True
50,finfet,data/train_canonical/ref_0050.png,data/train_canonical/search_0050.png,615.47,532.05,24,10.356,5.06,14.14,1.4,0.47,0.75,319.4,164.3,0.0,0.0,1.011,0.956,539.5,532.5,75.97133275124246,0.19521117210388184,True,9,620.0,532.0,4.530275929786148,0.043358802795410156,True
51,finfet,data/train_canonical/ref_0051.png,data/train_canonical/search_0051.png,539.98,423.82,29,9.926,7.04,11.5,-2.38,0.39,0.63,376.6,187.5,0.0,0.0,0.979,1.047,540.0,424.0,0.1811077027627531,0.21259284019470215,True,7,540.0,428.0,4.1800478466161195,0.043904781341552734,True
52,dram,data/train_canonical/ref_0052.png,data/train_canonical/search_0052.png,470.16,496.51,39,10.173,6.61,16.45,-1.71,0.25,0.89,440.1,167.2,0.0,0.0023,0.9,1.114,470.0,497.0,0.5154609587544113,0.20750069618225098,True,4,468.0,500.0,4.1043513494826644,0.05256175994873047,True
53,finfet,data/train_canonical/ref_0053.png,data/train_canonical/search_0053.png,562.73,412.6,29,10.085,7.26,17.03,-1.42,0.43,0.86,480.1,153.3,0.515,0.0007,1.036,1.085,563.0,526.0,113.40032142811586,0.1926267147064209,True,6,564.0,412.0,1.4045995870709849,0.04461264610290527,True
54,dram,data/train_canonical/ref_0054.png,data/train_canonical/search_0054.png,404.46,598.75,40,9.259,4.26,13.89,0.64,0.25,0.52,441.0,193.5,0.0,0.0,0.993,0.855,568.5,597.5,164.04476248877927,0.1903836727142334,False,7,404.0,604.0,5.270113850762617,0.04526686668395996,True
55,finfet,data/train_canonical/ref_0055.png,data/train_canonical/search_0055.png,457.61,372.33,21,9.357,7.8,12.78,2.74,0.35,0.62,581.5,160.3,0.799,0.0,0.91,1.066,457.5,480.5,108.17005593046535,0.19235491752624512,False,11,460.0,372.0,2.4126748641290074,0.046185970306396484,True
56,finfet,data/train_canonical/ref_0056.png,data/train_canonical/search_0056.png,514.63,560.52,23,10.569,5.87,12.57,0.73,0.36,0.84,343.6,81.4,0.0,0.0,0.956,0.881,514.5,560.5,0.1315294643796518,0.18879175186157227,True,8,516.0,556.0,4.723060448480397,0.041362762451171875,True
57,dram,data/train_canonical/ref_0057.png,data/train_canonical/search_0057.png,579.75,388.25,39,10.486,7.53,13.92,-1.87,0.52,0.75,370.2,124.6,0.639,0.0,0.975,0.911,579.5,488.5,100.25031172021362,0.18250513076782227,False,7,580.0,388.0,0.3535533905932738,0.056504249572753906,True
58,finfet,data/train_canonical/ref_0058.png,data/train_canonical/search_0058.png,562.65,602.62,24,9.48,7.52,13.71,-1.25,0.38,0.61,429.1,144.8,0.662,0.0007,0.996,0.905,562.5,516.5,86.12013063157765,0.20917367935180664,False,6,564.0,604.0,1.930518065183553,0.04891514778137207,True
59,dram,data/train_canonical/ref_0059.png,data/train_canonical/search_0059.png,523.05,377.53,38,10.995,6.95,11.43,1.01,0.44,0.58,423.0,179.6,0.0,0.0,1.008,1.001,523.5,460.5,82.97122031162374,0.21265840530395508,False,8,524.0,380.0,2.6463937726650246,0.04649639129638672,True
60,finfet,data/train_canonical/ref_0060.png,data/train_canonical/search_0060.png,418.15,563.88,23,9.291,7.77,14.06,-2.13,0.25,0.74,479.8,173.4,0.0,0.0,1.061,0.886,417.5,563.5,0.7529276193632207,0.1925060749053955,True,9,420.0,564.0,1.85388780674562,0.05016374588012695,True
61,finfet,data/train_canonical/ref_0061.png,data/train_canonical/search_0061.png,619.62,485.43,29,10.448,4.8,14.37,-1.2,0.3,0.56,476.2,124.8,0.0,0.0,0.967,0.88,539.5,485.5,80.12003057912547,0.2080540657043457,True,11,620.0,484.0,1.4796283317103711,0.05895209312438965,True
62,finfet,data/train_canonical/ref_0062.png,data/train_canonical/search_0062.png,431.41,395.67,22,9.288,7.37,14.77,-2.16,0.23,0.83,320.4,127.2,0.0,0.0,1.092,1.13,431.5,504.5,108.8300372139971,0.20210790634155273,True,4,436.0,396.0,4.6018474550988495,0.05836153030395508,True
63,dram,data/train_canonical/ref_0063.png,data/train_canonical/search_0063.png,447.04,378.68,42,10.022,4.73,13.47,1.99,0.37,0.43,592.5,113.6,0.0,0.0,1.027,1.053,447.0,559.0,180.32000443655716,0.19319701194763184,True,6,444.0,380.0,3.3142118218363934,0.056168317794799805,True
64,dram,data/train_canonical/ref_0064.png,data/train_canonical/search_0064.png,489.05,463.49,39,10.447,5.03,10.99,-0.37,0.23,0.52,425.5,103.5,0.0,0.0018,0.995,1.107,488.5,534.5,71.01212994974871,0.15034079551696777,True,4,492.0,620.0,156.53779926905833,0.045937299728393555,True
65,finfet,data/train_canonical/ref_0065.png,data/train_canonical/search_0065.png,368.98,439.23,25,10.15,4.13,10.99,0.7,0.28,0.47,495.7,161.6,0.486,0.0,1.012,0.98,499.0,547.0,168.87739132281737,0.19782471656799316,True,10,372.0,444.0,5.645644338780094,0.0451807975769043,True
66,finfet,data/train_canonical/ref_0066.png,data/train_canonical/search_0066.png,389.88,556.8,30,9.37,4.17,12.58,-2.26,0.21,0.77,350.7,97.1,0.0,0.0,0.947,0.868,548.5,556.5,158.62028369663193,0.19925880432128906,True,7,388.0,556.0,2.043134846259519,0.04654407501220703,True
67,finfet,data/train_canonical/ref_0067.png,data/train_canonical/search_0067.png,520.71,515.11,29,9.47,6.88,13.15,-0.75,0.23,0.79,571.3,139.5,0.0,0.0,1.079,1.067,520.5,515.5,0.44294469180700724,0.21276211738586426,True,10,524.0,516.0,3.4082546853191205,0.043675899505615234,True
68,finfet,data/train_canonical/ref_0068.png,data/train_canonical/search_0068.png,418.14,555.53,22,9.557,4.46,14.27,-2.87,0.48,0.8,448.0,82.7,0.766,0.0,0.982,1.12,418.5,490.5,65.03099645553647,0.17856645584106445,True,9,420.0,556.0,1.9184629264075124,0.046205997467041016,True
69,dram,data/train_canonical/ref_0069.png,data/train_canonical/search_0069.png,415.05,470.14,41,10.11,4.5,12.86,0.78,0.49,0.83,563.1,154.1,0.0,0.0,1.052,1.139,512.0,470.0,96.95010108297978,0.18953824043273926,False,3,420.0,380.0,90.27581126747074,0.05677676200866699,True
70,finfet,data/train_canonical/ref_0070.png,data/train_canonical/search_0070.png,513.64,602.47,29,9.129,6.41,17.48,2.69,0.25,0.85,590.1,123.6,0.0,0.0,0.904,1.119,513.5,492.5,109.97008911517716,0.21771931648254395,False,6,516.0,604.0,2.812561110447199,0.04876542091369629,True
71,finfet,data/train_canonical/ref_0071.png,data/train_canonical/search_0071.png,529.69,503.77,24,10.533,7.29,17.44,0.12,0.32,0.84,548.6,95.8,0.621,0.0,0.947,1.147,529.5,503.5,0.3301514803844001,0.19481158256530762,True,10,532.0,508.0,4.819647289999539,0.04426145553588867,True
72,dram,data/train_canonical/ref_0072.png,data/train_canonical/search_0072.png,614.75,532.93,39,10.022,6.42,17.64,0.03,0.37,0.84,565.6,180.9,0.0,0.0,0.955,1.068,467.0,533.0,147.75001658206338,0.20144271850585938,False,2,620.0,540.0,8.806100158412956,0.04104423522949219,True
73,finfet,data/train_canonical/ref_0073.png,data/train_canonical/search_0073.png,410.22,433.38,24,10.624,5.85,14.64,0.48,0.26,0.88,571.5,135.2,0.0,0.0,1.038,0.98,410.5,433.5,0.30463092423453303,0.16519594192504883,True,7,412.0,436.0,3.1674595498600966,0.04054546356201172,True
74,dram,data/train_canonical/ref_0074.png,data/train_canonical/search_0074.png,520.63,560.27,43,9.46,7.21,12.5,1.59,0.6,0.61,596.1,94.1,0.0,0.0,0.962,0.908,520.5,560.5,0.2641968962724717,0.21372032165527344,True,7,524.0,564.0,5.026907598116377,0.04882192611694336,True
75,finfet,data/train_canonical/ref_0075.png,data/train_canonical/search_0075.png,425.23,541.05,26,10.265,6.01,15.49,-1.12,0.46,0.89,414.9,150.5,0.0,0.0,0.958,0.895,425.5,487.5,53.55068066794291,0.17016100883483887,True,7,428.0,540.0,2.9623301639081023,0.04752635955810547,True
76,dram,data/train_canonical/ref_0076.png,data/train_canonical/search_0076.png,485.34,451.91,40,9.931,7.93,11.84,-2.34,0.37,0.46,318.8,109.4,0.0,0.0,0.996,1.055,485.0,452.0,0.35171010790134893,0.19776654243469238,True,3,484.0,452.0,1.343018987207526,0.05204319953918457,True
77,dram,data/train_canonical/ref_0077.png,data/train_canonical/search_0077.png,608.76,508.3,42,9.646,4.69,11.6,-2.36,0.41,0.6,352.7,189.7,0.578,0.0,0.986,0.952,460.5,508.5,148.2601348980905,0.1999969482421875,True,6,612.0,500.0,8.909971941594444,0.05715060234069824,True
78,dram,data/train_canonical/ref_0078.png,data/train_canonical/search_0078.png,476.84,391.63,36,9.66,6.01,13.12,0.89,0.25,0.61,588.3,198.2,0.0,0.0007,1.093,0.958,476.5,492.5,100.87057301314393,0.19316506385803223,True,6,476.0,388.0,3.7259227045122563,0.05741453170776367,True
79,finfet,data/train_canonical/ref_0079.png,data/train_canonical/search_0079.png,379.78,500.22,26,10.072,4.33,14.32,-0.88,0.45,0.85,543.9,178.2,0.0,0.0,1.064,1.015,542.0,500.0,162.22014918005718,0.1958329677581787,True,6,380.0,500.0,0.3111269837221195,0.04738950729370117,True
80,finfet,data/train_canonical/ref_0080.png,data/train_canonical/search_0080.png,560.27,523.4,25,9.14,6.27,16.56,-1.78,0.34,0.62,544.3,102.5,0.0,0.0,1.007,1.016,560.5,523.5,0.2507987240797148,0.2214207649230957,True,8,564.0,524.0,3.777949179118237,0.046087026596069336,True
81,finfet,data/train_canonical/ref_0081.png,data/train_canonical/search_0081.png,408.09,629.91,30,10.152,7.83,14.49,1.58,0.28,0.45,411.3,91.9,0.0,0.0,1.084,0.869,408.0,515.0,114.91003524496888,0.20473313331604004,False,6,412.0,628.0,4.351574427721543,0.04418683052062988,True
82,finfet,data/train_canonical/ref_0082.png,data/train_canonical/search_0082.png,397.54,606.65,26,10.985,5.48,13.43,2.14,0.51,0.71,500.9,96.1,0.338,0.0,1.01,0.863,397.5,506.5,100.15000798801763,0.19168925285339355,True,14,396.0,612.0,5.56723450197675,0.045235633850097656,True
83,finfet,data/train_canonical/ref_0083.png,data/train_canonical/search_0083.png,469.72,498.18,24,10.821,5.99,13.17,-2.01,0.36,0.53,498.4,186.2,0.515,0.0,1.041,0.922,469.5,498.5,0.3883297567789618,0.20148086547851562,True,6,468.0,500.0,2.504156544627366,0.044443368911743164,True
84,finfet,data/train_canonical/ref_0084.png,data/train_canonical/search_0084.png,555.2,618.0,23,10.494,6.06,12.4,2.31,0.31,0.59,591.9,187.9,0.42,0.0,0.915,0.971,555.5,483.5,134.5003345720746,0.20963072776794434,False,8,556.0,620.0,2.1540659228537846,0.047991037368774414,True
85,finfet,data/train_canonical/ref_0085.png,data/train_canonical/search_0085.png,541.88,394.39,20,10.632,6.53,17.42,0.56,0.23,0.59,548.6,100.7,0.446,0.0,1.077,1.078,541.5,519.5,125.11057709082795,0.20232701301574707,True,14,772.0,396.0,230.125631992614,0.04924964904785156,True
86,finfet,data/train_canonical/ref_0086.png,data/train_canonical/search_0086.png,426.28,624.92,24,10.789,4.11,12.89,-0.36,0.38,0.75,463.0,184.4,0.0,0.0025,0.934,0.863,426.5,502.5,122.42019767995798,0.18817687034606934,False,11,428.0,628.0,3.5277188096559433,0.04557371139526367,True
87,finfet,data/train_canonical/ref_0087.png,data/train_canonical/search_0087.png,434.26,501.15,26,10.673,5.83,17.34,-2.0,0.24,0.83,486.2,101.1,0.0,0.0,1.006,1.055,434.5,501.5,0.42438190347848276,0.20743989944458008,True,9,436.0,500.0,2.085689334488715,0.048415184020996094,True
88,dram,data/train_canonical/ref_0088.png,data/train_canonical/search_0088.png,554.68,548.51,37,10.361,4.04,10.36,2.13,0.35,0.45,390.4,113.7,0.402,0.0,1.063,1.116,554.5,548.5,0.18027756377314902,0.21065425872802734,True,8,556.0,692.0,143.4960713747941,0.05313849449157715,True
