pair_id,style,ref_path,search_path,gt_x,gt_y,pitch,scale,noise_sigma_ref,noise_sigma_search,rotation_deg,blur_ref,blur_search,dose_ref,dose_search,charging_intensity,salt_pepper_prob,gamma_ref,gamma_search
10,finfet,data/sample_pairs/ref_0010.png,data/sample_pairs/search_0010.png,611.35,440.72,30,10.567,6.78,13.48,-2.36,0.43,0.55,412.7,152.5,0.367,0.0007,0.939,0.908
11,dram,data/sample_pairs/ref_0011.png,data/sample_pairs/search_0011.png,563.11,494.92,43,11.0,4.26,14.81,-2.78,0.22,0.67,502.7,122.3,0.0,0.0027,0.901,1.052
12,finfet,data/sample_pairs/ref_0012.png,data/sample_pairs/search_0012.png,610.97,373.94,20,10.269,6.1,16.72,1.16,0.38,0.57,507.5,192.4,0.524,0.0,0.972,0.894
13,finfet,data/sample_pairs/ref_0013.png,data/sample_pairs/search_0013.png,634.11,532.36,24,9.995,7.39,10.24,-0.34,0.35,0.43,423.4,107.7,0.0,0.0013,0.958,0.954
14,finfet,data/sample_pairs/ref_0014.png,data/sample_pairs/search_0014.png,438.87,552.86,29,10.93,7.24,17.45,-2.64,0.55,0.6,355.5,170.6,0.0,0.0,0.949,1.024
15,dram,data/sample_pairs/ref_0015.png,data/sample_pairs/search_0015.png,385.98,617.81,42,9.705,7.23,10.35,0.79,0.3,0.8,359.7,141.6,0.403,0.0,1.06,0.866
16,dram,data/sample_pairs/ref_0016.png,data/sample_pairs/search_0016.png,549.07,612.4,41,9.775,7.61,12.41,1.96,0.38,0.85,518.2,181.7,0.588,0.0,0.932,1.084
17,dram,data/sample_pairs/ref_0017.png,data/sample_pairs/search_0017.png,413.21,602.46,37,10.346,4.02,10.34,-0.85,0.23,0.86,463.0,145.6,0.445,0.0019,0.968,0.907
18,dram,data/sample_pairs/ref_0018.png,data/sample_pairs/search_0018.png,540.49,525.3,39,10.99,7.24,15.12,-2.9,0.31,0.76,585.8,155.4,0.393,0.0,1.047,1.091
19,finfet,data/sample_pairs/ref_0019.png,data/sample_pairs/search_0019.png,574.8,455.01,27,10.435,6.43,13.34,-2.22,0.45,0.67,310.0,137.4,0.682,0.0,1.099,1.115
20,finfet,data/sample_pairs/ref_0020.png,data/sample_pairs/search_0020.png,419.66,570.82,30,9.103,6.33,12.3,2.0,0.21,0.45,328.6,144.4,0.0,0.0014,0.903,0.945
21,finfet,data/sample_pairs/ref_0021.png,data/sample_pairs/search_0021.png,385.01,455.45,24,9.852,5.88,11.05,-1.39,0.35,0.73,315.8,82.9,0.0,0.0004,1.026,0.97
22,dram,data/sample_pairs/ref_0022.png,data/sample_pairs/search_0022.png,620.52,532.84,37,9.329,7.92,14.84,-0.03,0.53,0.49,517.2,155.4,0.0,0.0,0.978,0.921
23,dram,data/sample_pairs/ref_0023.png,data/sample_pairs/search_0023.png,379.11,570.82,41,9.238,4.94,14.58,1.67,0.34,0.5,311.1,120.5,0.476,0.0,1.044,1.139
24,finfet,data/sample_pairs/ref_0024.png,data/sample_pairs/search_0024.png,476.38,447.0,28,9.973,6.41,17.3,-2.48,0.5,0.75,557.7,83.4,0.681,0.0,0.992,1.051
25,dram,data/sample_pairs/ref_0025.png,data/sample_pairs/search_0025.png,408.69,460.39,40,9.112,7.06,16.53,-1.64,0.52,0.63,329.4,154.5,0.0,0.0014,0.921,1.127
26,dram,data/sample_pairs/ref_0026.png,data/sample_pairs/search_0026.png,463.43,415.99,41,9.907,7.58,16.48,1.2,0.35,0.73,433.4,85.4,0.0,0.0026,0.931,0.967
27,finfet,data/sample_pairs/ref_0027.png,data/sample_pairs/search_0027.png,565.25,473.21,25,9.29,5.87,17.76,-0.32,0.24,0.62,351.1,169.9,0.743,0.0,1.09,0.957
28,finfet,data/sample_pairs/ref_0028.png,data/sample_pairs/search_0028.png,587.96,606.51,30,10.409,7.08,17.55,-0.2,0.55,0.42,359.4,133.7,0.44,0.0,0.994,1.045
29,finfet,data/sample_pairs/ref_0029.png,data/sample_pairs/search_0029.png,563.3,382.97,25,9.056,6.43,10.3,0.23,0.51,0.55,419.3,170.1,0.0,0.0,1.086,1.017
